gene_id,cell_cluster,exp_length,num_pa
ENSG00000105329:2,Astrocytes,8.881656804733728,2
ENSG00000105329:2,Endothelial,9.21917808219178,2
ENSG00000105329:2,Mural,9.378335949764521,2
ENSG00000105329:2,Myeloid,9.429577464788732,2
ENSG00000105329:2,Neurons,9.280991735537189,2
ENSG00000105329:2,Progs.,8.992779783393502,2
ENSG00000105329:2,Proliferating,9.281343283582089,2
ENSG00000105329:2,RG,9.25886524822695,2
ENSG00000105329:2,nan,9.035714285714286,2
ENSG00000170291:1,Astrocytes,1.0,1
ENSG00000170291:1,Endothelial,1.0,1
ENSG00000170291:1,Mural,1.0,1
ENSG00000170291:1,Myeloid,1.0,1
ENSG00000170291:1,Neurons,1.0,1
ENSG00000170291:1,Progs.,1.0,1
ENSG00000170291:1,Proliferating,1.0,1
ENSG00000170291:1,RG,1.0,1
ENSG00000170291:1,nan,1.0,1
ENSG00000170291:3,Astrocytes,9.62809917355372,2
ENSG00000170291:3,Endothelial,9.129032258064516,2
ENSG00000170291:3,Mural,9.424418604651162,2
ENSG00000170291:3,Myeloid,9.785714285714285,2
ENSG00000170291:3,Neurons,9.440776699029126,2
ENSG00000170291:3,Progs.,9.585611510791367,2
ENSG00000170291:3,Proliferating,9.593519882179676,2
ENSG00000170291:3,RG,9.4375,2
ENSG00000170291:3,nan,9.463949843260188,2
