index,group
0,NA-NA
1,Progs.-Ctrl
2,RG-Ctrl
3,NA-NA
4,NA-NA
5,NA-NA
6,NA-NA
7,Endothelial-Ctrl
8,NA-NA
9,Progs.-Ctrl
10,Neurons-Ctrl
11,Neurons-Ctrl
12,Progs.-Ctrl
13,NA-NA
14,NA-NA
15,NA-NA
16,NA-NA
17,RG-Ctrl
18,NA-NA
19,Progs.-Ctrl
20,NA-NA
21,Neurons-Ctrl
22,RG-Ctrl
23,RG-Ctrl
24,NA-NA
25,Neurons-Ctrl
26,NA-NA
27,Progs.-Ctrl
28,Progs.-Ctrl
29,Progs.-Ctrl
30,Progs.-Ctrl
31,NA-NA
32,RG-Ctrl
33,RG-Ctrl
34,Progs.-Ctrl
35,NA-NA
36,Neurons-Ctrl
37,Proliferating-Ctrl
38,NA-NA
39,NA-NA
40,Progs.-Ctrl
41,NA-NA
42,NA-NA
43,Neurons-Ctrl
44,NA-NA
45,NA-NA
46,Progs.-Ctrl
47,NA-NA
48,NA-NA
49,Progs.-Ctrl
50,NA-NA
51,RG-Ctrl
52,Progs.-Ctrl
53,NA-NA
54,NA-NA
55,RG-Ctrl
56,NA-NA
57,Progs.-Ctrl
58,Proliferating-Ctrl
59,NA-NA
60,NA-NA
61,Progs.-Ctrl
62,NA-NA
63,Progs.-Ctrl
64,NA-NA
65,Progs.-Ctrl
66,Neurons-Ctrl
67,NA-NA
68,Progs.-Ctrl
69,NA-NA
70,NA-NA
71,NA-NA
72,Progs.-Ctrl
73,Neurons-Ctrl
74,NA-NA
75,Proliferating-Ctrl
76,Progs.-Ctrl
77,Progs.-Ctrl
78,Proliferating-Ctrl
79,RG-Ctrl
80,NA-NA
81,NA-NA
82,NA-NA
83,NA-NA
84,NA-NA
85,Neurons-Ctrl
86,NA-NA
87,Neurons-Ctrl
88,Progs.-Ctrl
89,RG-Ctrl
90,NA-NA
91,NA-NA
92,NA-NA
93,NA-NA
94,Neurons-Ctrl
95,NA-NA
96,Progs.-Ctrl
97,NA-NA
98,NA-NA
99,NA-NA
100,NA-NA
101,Progs.-Ctrl
102,Progs.-Ctrl
103,NA-NA
104,NA-NA
105,Progs.-Ctrl
106,NA-NA
107,RG-Ctrl
108,NA-NA
109,Progs.-Ctrl
110,NA-NA
111,NA-NA
112,NA-NA
113,Proliferating-Ctrl
114,Neurons-Ctrl
115,NA-NA
116,Progs.-Ctrl
117,Proliferating-Ctrl
118,Progs.-Ctrl
119,Neurons-Ctrl
120,RG-Ctrl
121,NA-NA
122,NA-NA
123,Progs.-Ctrl
124,NA-NA
125,RG-Ctrl
126,NA-NA
127,NA-NA
128,Progs.-Ctrl
129,Progs.-Ctrl
130,NA-NA
131,NA-NA
132,Neurons-Ctrl
133,Progs.-Ctrl
134,NA-NA
135,RG-Ctrl
136,Progs.-Ctrl
137,NA-NA
138,Progs.-Ctrl
139,Progs.-Ctrl
140,Proliferating-Ctrl
141,Proliferating-Ctrl
142,Proliferating-Ctrl
143,RG-Ctrl
144,Progs.-Ctrl
145,NA-NA
146,NA-NA
147,RG-Ctrl
148,NA-NA
149,Progs.-Ctrl
150,NA-NA
151,NA-NA
152,Neurons-Ctrl
153,NA-NA
154,Proliferating-Ctrl
155,Neurons-Ctrl
156,Progs.-Ctrl
157,RG-Ctrl
158,NA-NA
159,NA-NA
160,RG-Ctrl
161,NA-NA
162,Progs.-Ctrl
163,NA-NA
164,Proliferating-Ctrl
165,RG-Ctrl
166,Proliferating-Ctrl
167,NA-NA
168,NA-NA
169,NA-NA
170,Progs.-Ctrl
171,NA-NA
172,NA-NA
173,Proliferating-Ctrl
174,Progs.-Ctrl
175,Proliferating-Ctrl
176,Progs.-Ctrl
177,RG-Ctrl
178,NA-NA
179,Progs.-Ctrl
180,Proliferating-Ctrl
181,Proliferating-Ctrl
182,Progs.-Ctrl
183,NA-NA
184,Mural-Ctrl
185,Progs.-Ctrl
186,Proliferating-Ctrl
187,Progs.-Ctrl
188,NA-NA
189,RG-Ctrl
190,NA-NA
191,NA-NA
192,Proliferating-Ctrl
193,RG-Ctrl
194,Proliferating-Ctrl
195,NA-NA
196,NA-NA
197,NA-NA
198,NA-NA
199,Progs.-Ctrl
200,NA-NA
201,NA-NA
202,NA-NA
203,Progs.-Ctrl
204,RG-Ctrl
205,Progs.-Ctrl
206,NA-NA
207,RG-Ctrl
208,RG-Ctrl
209,NA-NA
210,Proliferating-Ctrl
211,Proliferating-Ctrl
212,NA-NA
213,NA-NA
214,NA-NA
215,NA-NA
216,Proliferating-Ctrl
217,Neurons-Ctrl
218,RG-Ctrl
219,NA-NA
220,NA-NA
221,Progs.-Ctrl
222,Neurons-Ctrl
223,NA-NA
224,Progs.-Ctrl
225,RG-Ctrl
226,Progs.-Ctrl
227,NA-NA
228,NA-NA
229,RG-Ctrl
230,NA-NA
231,RG-Ctrl
232,NA-NA
233,NA-NA
234,RG-Ctrl
235,RG-Ctrl
236,Myeloid-Ctrl
237,NA-NA
238,RG-Ctrl
239,NA-NA
240,Neurons-Ctrl
241,NA-NA
242,Progs.-Ctrl
243,Progs.-Ctrl
244,Progs.-Ctrl
245,NA-NA
246,Proliferating-Ctrl
247,NA-NA
248,NA-NA
249,Progs.-Ctrl
250,Proliferating-Ctrl
251,Progs.-Ctrl
252,RG-Ctrl
253,Endothelial-Ctrl
254,Progs.-Ctrl
255,Progs.-Ctrl
256,Progs.-Ctrl
257,Neurons-Ctrl
258,RG-Ctrl
259,Progs.-Ctrl
260,Neurons-Ctrl
261,Neurons-Ctrl
262,Proliferating-Ctrl
263,Progs.-Ctrl
264,NA-NA
265,Neurons-Ctrl
266,NA-NA
267,NA-NA
268,Neurons-Ctrl
269,Progs.-Ctrl
270,Proliferating-Ctrl
271,NA-NA
272,NA-NA
273,RG-Ctrl
274,Progs.-Ctrl
275,NA-NA
276,NA-NA
277,Progs.-Ctrl
278,RG-Ctrl
279,NA-NA
280,NA-NA
281,NA-NA
282,Progs.-Ctrl
283,Progs.-Ctrl
284,NA-NA
285,NA-NA
286,Neurons-Ctrl
287,NA-NA
288,Progs.-Ctrl
289,NA-NA
290,Proliferating-Ctrl
291,Progs.-Ctrl
292,RG-Ctrl
293,Progs.-Ctrl
294,Neurons-Ctrl
295,NA-NA
296,NA-NA
297,NA-NA
298,RG-Ctrl
299,Proliferating-Ctrl
300,Progs.-Ctrl
301,Progs.-Ctrl
302,NA-NA
303,Progs.-Ctrl
304,Progs.-Ctrl
305,Progs.-Ctrl
306,RG-Ctrl
307,NA-NA
308,NA-NA
309,RG-Ctrl
310,NA-NA
311,NA-NA
312,Proliferating-Ctrl
313,NA-NA
314,NA-NA
315,Neurons-Ctrl
316,RG-Ctrl
317,Progs.-Ctrl
318,Neurons-Ctrl
319,Proliferating-Ctrl
320,NA-NA
321,Progs.-Ctrl
322,Neurons-Ctrl
323,Neurons-Ctrl
324,Progs.-Ctrl
325,NA-NA
326,Proliferating-Ctrl
327,Neurons-Ctrl
328,Progs.-Ctrl
329,Progs.-Ctrl
330,Progs.-Ctrl
331,NA-NA
332,Proliferating-Ctrl
333,NA-NA
334,RG-Ctrl
335,Progs.-Ctrl
336,NA-NA
337,Progs.-Ctrl
338,Progs.-Ctrl
339,Progs.-Ctrl
340,Neurons-Ctrl
341,NA-NA
342,Progs.-Ctrl
343,NA-NA
344,Progs.-Ctrl
345,NA-NA
346,RG-Ctrl
347,NA-NA
348,RG-Ctrl
349,NA-NA
350,Proliferating-Ctrl
351,NA-NA
352,NA-NA
353,NA-NA
354,NA-NA
355,Progs.-Ctrl
356,RG-Ctrl
357,Progs.-Ctrl
358,Progs.-Ctrl
359,NA-NA
360,Progs.-Ctrl
361,Neurons-Ctrl
362,Proliferating-Ctrl
363,Neurons-Ctrl
364,NA-NA
365,NA-NA
366,NA-NA
367,RG-Ctrl
368,Progs.-Ctrl
369,NA-NA
370,RG-Ctrl
371,NA-NA
